combo;DL1;DL2;DL3;DL4;DL5;UL1;MOD UL1;NR DL1;NR BW1;NR SCS1;NR DL2;NR BW2;NR SCS2;NR DL3;NR BW3;NR SCS3;NR DL4;NR BW4;NR SCS4;NR DL5;NR BW5;NR SCS5;NR DL6;NR BW6;NR SCS6;NR DL7;NR BW7;NR SCS7;NR DL8;NR BW8;NR SCS8;NR UL1;NR UL MOD1;mimo DL1;mimo DL2;mimo DL3;mimo DL4;mimo DL5;mimo NR DL1;mimo NR DL2;mimo NR DL3;mimo NR DL4;mimo NR DL5;mimo NR DL6;mimo NR DL7;mimo NR DL8;mimo LTE UL1;mimo NR UL1;BCS NR;BCS LTE;BCS intraENDC
66A4-5A2A-2A2_n261J2-n261G2G2;66A;5A;2A;;;5A;256qam;261J;100;120;261G;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;2;;;;;;;1;2;;;
66A2-5A2A-2A4_n261J2-n261G2G2;66A;5A;2A;;;5A;256qam;261J;100;120;261G;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;2;2;4;;;2;2;;;;;;;1;2;;;
66A4-5A2-2A2A_n261J2-n261G2G2;66A;5A;2A;;;2A;256qam;261J;100;120;261G;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;2;;;;;;;1;2;;;
66A2-5A2-2A4A_n261J2-n261G2G2;66A;5A;2A;;;2A;256qam;261J;100;120;261G;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;2;2;4;;;2;2;;;;;;;1;2;;;
66A4A-5A2-2A2_n261I2G2-n261H2;66A;5A;2A;;;66A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;2;;;;;;;1;2;;;
66A2A-5A2-2A4_n261I2G2-n261H2;66A;5A;2A;;;66A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;2;2;4;;;2;2;;;;;;;1;2;;;
66A4-5A2A-2A2_n261I2G2-n261H2;66A;5A;2A;;;5A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;2;;;;;;;1;2;;;
66A2-5A2A-2A4_n261I2G2-n261H2;66A;5A;2A;;;5A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;2;2;4;;;2;2;;;;;;;1;2;;;
66A4-5A2-2A2A_n261I2G2-n261H2;66A;5A;2A;;;2A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;2;;;;;;;1;2;;;
66A2-5A2-2A4A_n261I2G2-n261H2;66A;5A;2A;;;2A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;2;2;4;;;2;2;;;;;;;1;2;;;
66A4A-5A2-2A2_n261I2-n261H2G2;66A;5A;2A;;;66A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;2;;;;;;;1;2;;;
66A2A-5A2-2A4_n261I2-n261H2G2;66A;5A;2A;;;66A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;2;2;4;;;2;2;;;;;;;1;2;;;
66A4-5A2A-2A2_n261I2-n261H2G2;66A;5A;2A;;;5A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;2;;;;;;;1;2;;;
66A2-5A2A-2A4_n261I2-n261H2G2;66A;5A;2A;;;5A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;2;2;4;;;2;2;;;;;;;1;2;;;
66A4-5A2-2A2A_n261I2-n261H2G2;66A;5A;2A;;;2A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;2;;;;;;;1;2;;;
66A2-5A2-2A4A_n261I2-n261H2G2;66A;5A;2A;;;2A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;2;2;4;;;2;2;;;;;;;1;2;;;
66A4A-5A2-2A4_n261H2G2-n261A2;66A;5A;2A;;;66A;256qam;261H;100;120;261A;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;4;;;2;2;;;;;;;1;2;;;
66A4-5A2A-2A4_n261H2G2-n261A2;66A;5A;2A;;;5A;256qam;261H;100;120;261A;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;4;;;2;2;;;;;;;1;2;;;
66A4-5A2-2A4A_n261H2G2-n261A2;66A;5A;2A;;;2A;256qam;261H;100;120;261A;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;4;;;2;2;;;;;;;1;2;;;
66A4A-5A2-2A4_n261H2-n261A2A2;66A;5A;2A;;;66A;256qam;261H;100;120;261A;100;120;;;;;;;;;;;;;;;;;;;261A;256qam;4;2;4;;;2;2;;;;;;;1;2;;;
66A4-5A2A-2A4_n261H2-n261A2A2;66A;5A;2A;;;5A;256qam;261H;100;120;261A;100;120;;;;;;;;;;;;;;;;;;;261A;256qam;4;2;4;;;2;2;;;;;;;1;2;;;
66A4-5A2-2A4A_n261H2-n261A2A2;66A;5A;2A;;;2A;256qam;261H;100;120;261A;100;120;;;;;;;;;;;;;;;;;;;261A;256qam;4;2;4;;;2;2;;;;;;;1;2;;;
66A4A-5A2-2A4_n261G2G2-n261G2;66A;5A;2A;;;66A;256qam;261G;100;120;261G;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;4;;;2;2;;;;;;;1;2;;;
66A4-5A2A-2A4_n261G2G2-n261G2;66A;5A;2A;;;5A;256qam;261G;100;120;261G;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;4;;;2;2;;;;;;;1;2;;;
66A4-5A2-2A4A_n261G2G2-n261G2;66A;5A;2A;;;2A;256qam;261G;100;120;261G;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;4;;;2;2;;;;;;;1;2;;;
66A4A-2A4_n261K2G2-n261A2;66A;2A;;;;66A;256qam;261K;100;120;261A;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;4;;;;2;2;;;;;;;1;2;;;
66A4-2A4A_n261K2G2-n261A2;66A;2A;;;;2A;256qam;261K;100;120;261A;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;4;;;;2;2;;;;;;;1;2;;;
66A4A-2A4_n261K2-n261A2A2;66A;2A;;;;66A;256qam;261K;100;120;261A;100;120;;;;;;;;;;;;;;;;;;;261A;256qam;4;4;;;;2;2;;;;;;;1;2;;;
66A4-2A4A_n261K2-n261A2A2;66A;2A;;;;2A;256qam;261K;100;120;261A;100;120;;;;;;;;;;;;;;;;;;;261A;256qam;4;4;;;;2;2;;;;;;;1;2;;;
66A4A-2A4_n261J2G2-n261G2;66A;2A;;;;66A;256qam;261J;100;120;261G;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;4;;;;2;2;;;;;;;1;2;;;
66A4-2A4A_n261J2G2-n261G2;66A;2A;;;;2A;256qam;261J;100;120;261G;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;4;;;;2;2;;;;;;;1;2;;;
66A4A-2A4_n261J2-n261G2G2;66A;2A;;;;66A;256qam;261J;100;120;261G;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;4;;;;2;2;;;;;;;1;2;;;
66A4-2A4A_n261J2-n261G2G2;66A;2A;;;;2A;256qam;261J;100;120;261G;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;4;;;;2;2;;;;;;;1;2;;;
66A4A-2A4_n261I2G2-n261H2;66A;2A;;;;66A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;4;;;;2;2;;;;;;;1;2;;;
66A4-2A4A_n261I2G2-n261H2;66A;2A;;;;2A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;4;;;;2;2;;;;;;;1;2;;;
66A4A-2A4_n261I2-n261H2G2;66A;2A;;;;66A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;4;;;;2;2;;;;;;;1;2;;;
66A4-2A4A_n261I2-n261H2G2;66A;2A;;;;2A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;4;;;;2;2;;;;;;;1;2;;;
66A4A_n261I2G2-n261I2;66A;;;;;66A;256qam;261I;100;120;261I;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;;;;;2;2;;;;;;;1;2;;;
48A4A_n261K2G2-n261A2;48A;;;;;48A;256qam;261K;100;120;261A;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;;;;;2;2;;;;;;;1;2;;;
48A4A_n261K2-n261A2A2;48A;;;;;48A;256qam;261K;100;120;261A;100;120;;;;;;;;;;;;;;;;;;;261A;256qam;4;;;;;2;2;;;;;;;1;2;;;
48A4A_n261J2G2-n261G2;48A;;;;;48A;256qam;261J;100;120;261G;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;;;;;2;2;;;;;;;1;2;;;
48A4A_n261J2-n261G2G2;48A;;;;;48A;256qam;261J;100;120;261G;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;;;;;2;2;;;;;;;1;2;;;
48A4A_n261I2G2-n261H2;48A;;;;;48A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;;;;;2;2;;;;;;;1;2;;;
48A4A_n261I2-n261H2G2;48A;;;;;48A;256qam;261I;100;120;261H;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;;;;;2;2;;;;;;;1;2;;;
48D4C_n261A2A2-n261A2;48D;;;;;48C;256qam;261A;100;120;261A;100;120;;;;;;;;;;;;;;;;;;;261A;256qam;4;;;;;2;2;;;;;;;1;2;;;
13A2A_n261I2G2-n261I2;13A;;;;;13A;256qam;261I;100;120;261I;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;2;;;;;2;2;;;;;;;1;2;;;
5A2A_n261I2G2-n261I2;5A;;;;;5A;256qam;261I;100;120;261I;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;2;;;;;2;2;;;;;;;1;2;;;
4A4A_n261I2G2-n261I2;4A;;;;;4A;256qam;261I;100;120;261I;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;;;;;2;2;;;;;;;1;2;;;
2A4A_n261I2G2-n261I2;2A;;;;;2A;256qam;261I;100;120;261I;100;120;;;;;;;;;;;;;;;;;;;261G;256qam;4;;;;;2;2;;;;;;;1;2;;;
71A2A_n261A2A2;71A;;;;;71A;256qam;261A;100;120;;;;;;;;;;;;;;;;;;;;;;261A;256qam;2;;;;;2;;;;;;;;1;2;;;
66A4A-66A2-13A2_n261M2G2;66A;66A;13A;;;66A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;;;;;;;;1;2;;;
66A2A-66A4-13A2_n261M2G2;66A;66A;13A;;;66A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;2;4;2;;;2;;;;;;;;1;2;;;
66A4-66A2-13A2A_n261M2G2;66A;66A;13A;;;13A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;;;;;;;;1;2;;;
66A4A-66A4-13A2_n261I2G2;66A;66A;13A;;;66A;256qam;261I;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;4;2;;;2;;;;;;;;1;2;;;
66A4-66A4-13A2A_n261I2G2;66A;66A;13A;;;13A;256qam;261I;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;4;2;;;2;;;;;;;;1;2;;;
66A4A-66A2-5A2_n261M2G2;66A;66A;5A;;;66A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;;;;;;;;1;2;;;
66A2A-66A4-5A2_n261M2G2;66A;66A;5A;;;66A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;2;4;2;;;2;;;;;;;;1;2;;;
66A4-66A2-5A2A_n261M2G2;66A;66A;5A;;;5A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;;;;;;;;1;2;;;
66A4A-66A4-5A2_n261I2G2;66A;66A;5A;;;66A;256qam;261I;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;4;2;;;2;;;;;;;;1;2;;;
66A4-66A4-5A2A_n261I2G2;66A;66A;5A;;;5A;256qam;261I;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;4;2;;;2;;;;;;;;1;2;;;
66A4A-66A2-2A2_n261M2G2;66A;66A;2A;;;66A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;;;;;;;;1;2;;;
66A2A-66A4-2A2_n261M2G2;66A;66A;2A;;;66A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;2;4;2;;;2;;;;;;;;1;2;;;
66A2A-66A2-2A4_n261M2G2;66A;66A;2A;;;66A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;2;2;4;;;2;;;;;;;;1;2;;;
66A4-66A2-2A2A_n261M2G2;66A;66A;2A;;;2A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;;;;;;;;1;2;;;
66A2-66A2-2A4A_n261M2G2;66A;66A;2A;;;2A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;2;2;4;;;2;;;;;;;;1;2;;;
66A4A-66A2-2A4_n261I2G2;66A;66A;2A;;;66A;256qam;261I;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;4;;;2;;;;;;;;1;2;;;
66A2A-66A4-2A4_n261I2G2;66A;66A;2A;;;66A;256qam;261I;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;2;4;4;;;2;;;;;;;;1;2;;;
66A4-66A2-2A4A_n261I2G2;66A;66A;2A;;;2A;256qam;261I;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;4;;;2;;;;;;;;1;2;;;
66A4A-66A4_n261M2G2;66A;66A;;;;66A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;4;;;;2;;;;;;;;1;2;;;
66A4A-13A2-2A2_n261M2G2;66A;13A;2A;;;66A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;;;;;;;;1;2;;;
66A2A-13A2-2A4_n261M2G2;66A;13A;2A;;;66A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;2;2;4;;;2;;;;;;;;1;2;;;
66A4-13A2A-2A2_n261M2G2;66A;13A;2A;;;13A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;;;;;;;;1;2;;;
66A2-13A2A-2A4_n261M2G2;66A;13A;2A;;;13A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;2;2;4;;;2;;;;;;;;1;2;;;
66A4-13A2-2A2A_n261M2G2;66A;13A;2A;;;2A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;;;;;;;;1;2;;;
66A2-13A2-2A4A_n261M2G2;66A;13A;2A;;;2A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;2;2;4;;;2;;;;;;;;1;2;;;
66A4A-13A2-2A4_n261I2G2;66A;13A;2A;;;66A;256qam;261I;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;4;;;2;;;;;;;;1;2;;;
66A4-13A2A-2A4_n261I2G2;66A;13A;2A;;;13A;256qam;261I;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;4;;;2;;;;;;;;1;2;;;
66A4-13A2-2A4A_n261I2G2;66A;13A;2A;;;2A;256qam;261I;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;4;;;2;;;;;;;;1;2;;;
66A4A-5A2-2A2_n261M2G2;66A;5A;2A;;;66A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;;;;;;;;1;2;;;
66A2A-5A2-2A4_n261M2G2;66A;5A;2A;;;66A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;2;2;4;;;2;;;;;;;;1;2;;;
66A4-5A2A-2A2_n261M2G2;66A;5A;2A;;;5A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;;;;;;;;1;2;;;
66A2-5A2A-2A4_n261M2G2;66A;5A;2A;;;5A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;2;2;4;;;2;;;;;;;;1;2;;;
66A4-5A2-2A2A_n261M2G2;66A;5A;2A;;;2A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;2;;;2;;;;;;;;1;2;;;
66A2-5A2-2A4A_n261M2G2;66A;5A;2A;;;2A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;2;2;4;;;2;;;;;;;;1;2;;;
66A4A-5A2-2A4_n261I2G2;66A;5A;2A;;;66A;256qam;261I;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;4;;;2;;;;;;;;1;2;;;
66A4-5A2A-2A4_n261I2G2;66A;5A;2A;;;5A;256qam;261I;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;4;;;2;;;;;;;;1;2;;;
66A4-5A2-2A4A_n261I2G2;66A;5A;2A;;;2A;256qam;261I;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;2;4;;;2;;;;;;;;1;2;;;
66A4A-2A4_n261M2G2;66A;2A;;;;66A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;4;;;;2;;;;;;;;1;2;;;
66A4-2A4A_n261M2G2;66A;2A;;;;2A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;4;;;;2;;;;;;;;1;2;;;
66A4A_n261Q2O2;66A;;;;;66A;256qam;261Q;100;120;;;;;;;;;;;;;;;;;;;;;;261O;256qam;4;;;;;2;;;;;;;;1;2;;;
48A4A_n261M2G2;48A;;;;;48A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;;;;;2;;;;;;;;1;2;;;
12A2A_n261A2A2;12A;;;;;12A;256qam;261A;100;120;;;;;;;;;;;;;;;;;;;;;;261A;256qam;2;;;;;2;;;;;;;;1;2;;;
5A2A_n261Q2O2;5A;;;;;5A;256qam;261Q;100;120;;;;;;;;;;;;;;;;;;;;;;261O;256qam;2;;;;;2;;;;;;;;1;2;;;
4A4A_n261M2G2;4A;;;;;4A;256qam;261M;100;120;;;;;;;;;;;;;;;;;;;;;;261G;256qam;4;;;;;2;;;;;;;;1;2;;;
66A4A_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2-n260A2-n260A2;66A;;;;;66A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;256qam;4;;;;;2;2;2;2;2;2;2;2;1;2;;;
30A4A_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2-n260A2-n260A2;30A;;;;;30A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;256qam;4;;;;;2;2;2;2;2;2;2;2;1;2;;;
14A2A_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2-n260A2-n260A2;14A;;;;;14A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;256qam;2;;;;;2;2;2;2;2;2;2;2;1;2;;;
13A2A_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2-n260A2-n260A2;13A;;;;;13A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;256qam;2;;;;;2;2;2;2;2;2;2;2;1;2;;;
12A2A_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2-n260A2-n260A2;12A;;;;;12A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;256qam;2;;;;;2;2;2;2;2;2;2;2;1;2;;;
5A2A_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2-n260A2-n260A2;5A;;;;;5A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;256qam;2;;;;;2;2;2;2;2;2;2;2;1;2;;;
4A4A_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2-n260A2-n260A2;4A;;;;;4A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;256qam;4;;;;;2;2;2;2;2;2;2;2;1;2;;;
2A4A_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2-n260A2-n260A2;2A;;;;;2A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;256qam;4;;;;;2;2;2;2;2;2;2;2;1;2;;;
66A4A-66A2-13A2_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2;66A;66A;13A;;;66A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260A;256qam;4;2;2;;;2;2;2;2;2;2;;;1;2;;;
66A2A-66A4-13A2_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2;66A;66A;13A;;;66A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260A;256qam;2;4;2;;;2;2;2;2;2;2;;;1;2;;;
66A4-66A2-13A2A_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2;66A;66A;13A;;;13A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260A;256qam;4;2;2;;;2;2;2;2;2;2;;;1;2;;;
66A4A-66A4_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2;66A;66A;;;;66A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260A;256qam;4;4;;;;2;2;2;2;2;2;;;1;2;;;
66A4A-13A2-2A2_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2;66A;13A;2A;;;66A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260A;256qam;4;2;2;;;2;2;2;2;2;2;;;1;2;;;
66A2A-13A2-2A4_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2;66A;13A;2A;;;66A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260A;256qam;2;2;4;;;2;2;2;2;2;2;;;1;2;;;
66A4-13A2A-2A2_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2;66A;13A;2A;;;13A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260A;256qam;4;2;2;;;2;2;2;2;2;2;;;1;2;;;
66A2-13A2A-2A4_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2;66A;13A;2A;;;13A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260A;256qam;2;2;4;;;2;2;2;2;2;2;;;1;2;;;
66A4-13A2-2A2A_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2;66A;13A;2A;;;2A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260A;256qam;4;2;2;;;2;2;2;2;2;2;;;1;2;;;
66A2-13A2-2A4A_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2;66A;13A;2A;;;2A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260A;256qam;2;2;4;;;2;2;2;2;2;2;;;1;2;;;
66A4A-2A4_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2;66A;2A;;;;66A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260A;256qam;4;4;;;;2;2;2;2;2;2;;;1;2;;;
66A4-2A4A_n260A2A2-n260A2-n260A2-n260A2-n260A2-n260A2;66A;2A;;;;2A;256qam;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260A;256qam;4;4;;;;2;2;2;2;2;2;;;1;2;;;
66A4A_n260O2O2-n260O2-n260A2-n260A2-n260A2-n260A2;66A;;;;;66A;256qam;260O;100;120;260O;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260O;256qam;4;;;;;2;2;2;2;2;2;;;1;2;;;
66A4A_n260O2-n260O2-n260A2A2-n260A2-n260A2-n260A2;66A;;;;;66A;256qam;260O;100;120;260O;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260A;256qam;4;;;;;2;2;2;2;2;2;;;1;2;;;
66A4A_n260G2G2-n260G2-n260A2-n260A2-n260A2-n260A2;66A;;;;;66A;256qam;260G;100;120;260G;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260G;256qam;4;;;;;2;2;2;2;2;2;;;1;2;;;
66A4A_n260G2-n260G2-n260A2A2-n260A2-n260A2-n260A2;66A;;;;;66A;256qam;260G;100;120;260G;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260A;256qam;4;;;;;2;2;2;2;2;2;;;1;2;;;
13A2A_n260O2O2-n260O2-n260A2-n260A2-n260A2-n260A2;13A;;;;;13A;256qam;260O;100;120;260O;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260O;256qam;2;;;;;2;2;2;2;2;2;;;1;2;;;
13A2A_n260O2-n260O2-n260A2A2-n260A2-n260A2-n260A2;13A;;;;;13A;256qam;260O;100;120;260O;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260A;256qam;2;;;;;2;2;2;2;2;2;;;1;2;;;
5A2A_n260O2O2-n260O2-n260A2-n260A2-n260A2-n260A2;5A;;;;;5A;256qam;260O;100;120;260O;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260O;256qam;2;;;;;2;2;2;2;2;2;;;1;2;;;
5A2A_n260O2-n260O2-n260A2A2-n260A2-n260A2-n260A2;5A;;;;;5A;256qam;260O;100;120;260O;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260A;256qam;2;;;;;2;2;2;2;2;2;;;1;2;;;
5A2A_n260G2G2-n260G2-n260A2-n260A2-n260A2-n260A2;5A;;;;;5A;256qam;260G;100;120;260G;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260G;256qam;2;;;;;2;2;2;2;2;2;;;1;2;;;
5A2A_n260G2-n260G2-n260A2A2-n260A2-n260A2-n260A2;5A;;;;;5A;256qam;260G;100;120;260G;100;120;260A;100;120;260A;100;120;260A;100;120;260A;100;120;;;;;;;260A;256qam;2;;;;;2;2;2;2;2;2;;;1;2;;;
